1947,Theda,F,88
1947,Arden,F,25
1947,Gardenia,F,13
1947,Renata,F,9
1947,Glema,F,6
1947,Rethia,F,5
1947,Ashley,M,67
1947,Thermon,M,18
1947,Ulysess,M,9
1947,Dariel,M,5
1948,Lesley,F,211
1948,Bess,F,35
1948,Roselee,F,16
1948,Su,F,10
1948,Scott,F,7
1948,Janese,F,5
1948,Abel,M,151
1948,Leif,M,23
1948,Lavell,M,10
1948,Mallie,M,6
1949,Helene,F,511
1949,Dortha,F,47
1949,Ardyce,F,18
1949,Pamula,F,11
1949,Doristine,F,7
1949,Chaille,F,5
1949,Geoffrey,M,586
1949,Baldemar,M,32
1949,Knox,M,12
1949,Vandy,M,7
1950,Charlotte,F,4736
1950,Janel,F,73
1950,Joellyn,F,22
1950,Charissa,F,12
1950,Gloriann,F,8
1950,Marlise,F,6
1950,Victor,F,5
1950,Jory,M,52
1950,Glade,M,15
1950,Pink,M,8
1950,Lanning,M,5
1951,Georgianna,F,131
1951,Bari,F,30
1951,Merlyn,F,15
1951,Dewana,F,9
1951,Storm,F,7
1951,Jocie,F,5
1951,Jerold,M,150
1951,Dayne,M,23
1951,Hardin,M,10
1951,Kipton,M,6
1952,Cora,F,665
1952,Wonda,F,54
1952,Nilsa,F,21
1952,Lujean,F,12
1952,Levonne,F,8
1952,Marlina,F,6
1952,Tannis,F,5
1952,Lucious,M,60
1952,Olden,M,17
1952,Charls,M,8
1952,Feliberto,M,5
1953,Bobbi,F,188
1953,Joline,F,36
1953,Marvina,F,17
1953,Tennie,F,11
1953,Cornelius,F,7
1953,Warren,F,6
1953,Brad,M,1646
1953,Regan,M,41
1953,Ozie,M,14
1953,Bowen,M,7
1953,Maxton,M,5
1954,Velda,F,130
1954,Rinda,F,33
1954,Johnsie,F,16
1954,Hulda,F,10
1954,Francyne,F,7
1954,Bradley,F,5
1954,Luis,M,1019
1954,Chet,M,38
1954,Baltazar,M,13
1954,Cicel,M,7
1954,Philemon,M,5
1955,Glinda,F,127
1955,Loralee,F,33
1955,Dorotha,F,16
1955,Felipa,F,10
1955,Eleonore,F,7
1955,Ardelle,F,5
1955,Leon,M,2145
1955,Leopoldo,M,43
1955,Amon,M,14
1955,Philipp,M,8
1955,Knut,M,5
1956,Sybil,F,167
1956,Leota,F,37
1956,Genette,F,18
1956,Dorina,F,11
1956,Roe,F,8
1956,Nalani,F,6
1956,Sheralee,F,5
1956,Xavier,M,76
1956,Mikell,M,19
1956,Giuseppe,M,9
1956,Robertt,M,6
1957,Katie,F,512
1957,Tawana,F,57
1957,Sigrid,F,23
1957,Lynnea,F,13
1957,Loucinda,F,9
1957,Arneda,F,6
1957,Gerre,F,5
1957,Carroll,M,379
1957,Lazaro,M,32
1957,Dail,M,12
1957,Jonothan,M,7
1957,Patrich,M,5
1958,Jannie,F,145
1958,Terrell,F,36
1958,Tambria,F,18
1958,Luwanna,F,11
1958,Tamblyn,F,8
1958,Marice,F,6
1958,Schelly,F,5
1958,Rayford,M,83
1958,Rita,M,20
1958,Arthor,M,9
1958,Perrie,M,6
1959,Lucinda,F,823
1959,Deborha,F,65
1959,Rickey,F,25
1959,Jerene,F,14
1959,Briget,F,9
1959,Linna,F,7
1959,Berneta,F,5
1959,Jerome,M,2683
1959,Lawrance,M,47
1959,Dionicio,M,15
1959,Irby,M,8
1959,Dixie,M,5
1960,Josie,F,305
1960,Belva,F,51
1960,Mellisa,F,23
1960,Fabiola,F,13
1960,Evy,F,9
1960,Oneda,F,7
1960,Davene,F,5
1960,Freddie,M,1216
1960,Denton,M,41
1960,Clovis,M,14
1960,Leanard,M,8
1960,Ferry,M,5
1961,Karyn,F,256
1961,Meta,F,48
1961,Jeanelle,F,22
1961,Dari,F,13
1961,Ellamae,F,9
1961,Marena,F,7
1961,Benigna,F,5
1961,Rick,M,3735
1961,Elston,M,50
1961,Link,M,16
1961,Avi,M,8
1961,Aurther,M,5
1962,Danette,F,447
1962,Carma,F,58
1962,Albert,F,24
1962,Cyntha,F,14
1962,Nida,F,10
1962,Estrelita,F,7
1962,Shyrl,F,6
1962,Tamasine,F,5
1962,Rogers,M,76
1962,Johannes,M,19
1962,Christo,M,9
1962,Lougene,M,6
1963,Erin,F,1199
1963,Elida,F,77
1963,Berlinda,F,28
1963,Laurena,F,16
1963,Trinna,F,11
1963,Teresina,F,8
1963,Lestine,F,6
1963,Marli,F,5
1963,Cody,M,175
1963,Ceasar,M,25
1963,Graylin,M,11
1963,Sandford,M,7
1963,Vint,M,5
1964,Elaina,F,118
1964,Alanna,F,36
1964,Marshall,F,19
1964,Karalee,F,12
1964,Tesha,F,9
1964,Valina,F,7
